rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
p_D,0.0462098120373296,0.001,4.62098120373296e-05,220.0655517884166,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
p_A,0.031333575283049,0.001,3.1333575283049e-05,234.3090228136347,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
d,0.0052950099891291,2.150487067633525,0.011386850504612462,104.59615384615385,True,-1,crossing_found,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
epsilon,0.022222222222222223,20.0,0.4444444444444445,214.48201604880194,False,-1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
r,0.0030987890106644045,0.001,3.0987890106644046e-06,213.229057152214,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
I0,1.1532296706553111,0.40959114676073916,0.4723526632822184,104.59615384615385,True,1,crossing_found,Other Civilizations,domestic_active,234.3394457306839,104.59615384615385
alpha,0.0638320420426842,0.001,6.38320420426842e-05,204.2994833596368,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
beta,0.0980829253011726,0.001,9.80829253011726e-05,129.1395594026149,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
h_D,0.1033348216480584,0.001,0.00010333482164805841,183.83633980231878,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
h_A,0.2599301927099794,0.001,0.00025993019270997944,198.26224466826216,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
p_D,0.0462098120373296,0.0863769519771563,0.003991462715221838,104.59615384615385,True,1,crossing_found,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
p_A,0.031333575283049,0.001,3.1333575283049e-05,202.8975976274738,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
d,0.0052950099891291,1.7329702338062416,0.00917609469886744,104.59615384615385,True,-1,crossing_found,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
epsilon,0.022222222222222223,20.0,0.4444444444444445,187.1891134014187,False,-1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
r,0.0030987890106644045,0.001,3.0987890106644046e-06,186.09559391059412,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
I0,1.1532296706553111,0.4775679770677092,0.5507455609093175,104.59615384615385,True,1,crossing_found,Other Civilizations,domestic_PIs,234.3394457306839,104.59615384615385
alpha,0.1256286337293967,20.0,2.512572674587934,265.1497300398569,False,-1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
beta,0.16094379124341,0.001,0.00016094379124341,169.18492611085972,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
h_D,0.1880096745970342,0.001,0.00018800967459703418,264.54753189635267,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
h_A,0.2878231366242557,0.001,0.0002878231366242557,269.2531851997116,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
p_D,0.0191788048301187,0.001,1.91788048301187e-05,263.23948425158153,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
p_A,0.0462098120373296,0.001,4.62098120373296e-05,270.3033671316948,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
d,0.0033680345453574,4.5062670299496785,0.015177263027475607,57.16981132075472,True,-1,crossing_found,Other Western,domestic_active,270.31817325705515,57.16981132075472
epsilon,0.04,20.0,0.8,257.78013925792095,False,-1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
r,0.0020012390516512824,0.001,2.0012390516512822e-06,257.0618093409697,False,1,no_crossing_in_scanned_range,Other Western,domestic_active,270.31817325705515,57.16981132075472
I0,0.8740144451279236,0.18462279319379984,0.16136298815124636,57.16981132075472,True,1,crossing_found,Other Western,domestic_active,270.31817325705515,57.16981132075472
alpha,0.1256286337293967,0.001,0.0001256286337293967,228.04283543905728,False,1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
beta,0.16094379124341,20.0,3.2188758248681997,228.13031683734988,False,-1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
h_D,0.1880096745970342,0.001,0.00018800967459703418,224.07198771191565,False,1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
h_A,0.2878231366242557,0.001,0.0002878231366242557,225.01602026864023,False,1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
p_D,0.0191788048301187,0.0341817553546024,0.0006555652146967842,57.16981132075472,True,1,crossing_found,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
p_A,0.0462098120373296,0.001,4.62098120373296e-05,227.05769351564973,False,1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
d,0.0033680345453574,2.9923449856351843,0.010078321283246294,57.16981132075472,True,-1,crossing_found,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
epsilon,0.04,20.0,0.8,218.98977918400993,False,-1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
r,0.0020012390516512824,0.001,2.0012390516512822e-06,218.37954245147012,False,1,no_crossing_in_scanned_range,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
I0,0.8740144451279236,0.22197881550674486,0.19401269126528134,57.16981132075472,True,1,crossing_found,Other Western,domestic_PIs,270.31817325705515,57.16981132075472
alpha,0.08385059627868,20.0,1.6770119255735998,920.8231940606362,False,-1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
beta,0.1098612288668109,0.001,0.0001098612288668109,606.8290737213563,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
h_D,0.1373265360835137,0.001,0.0001373265360835137,918.5030654467092,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
h_A,0.2239699336535069,0.001,0.0002239699336535069,937.1165124912188,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
p_D,0.0665685886740751,0.001,6.65685886740751e-05,919.2188566126349,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
p_A,0.0462098120373296,0.001,4.62098120373296e-05,940.8086322698778,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
d,0.0026460027216252,7.739097907067596,0.02047767412502475,112.34408602150538,True,-1,crossing_found,Sinic,domestic_active,940.824291928775,112.34408602150538
epsilon,0.01,20.0,0.2,896.1808030469244,False,-1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
r,0.0014040879746062274,0.001,1.4040879746062274e-06,893.6165250058624,False,1,no_crossing_in_scanned_range,Sinic,domestic_active,940.824291928775,112.34408602150538
I0,2.388363239638916,0.0953613583268447,0.2277575627098703,112.34408602150538,True,1,crossing_found,Sinic,domestic_active,940.824291928775,112.34408602150538
alpha,0.08385059627868,20.0,1.6770119255735998,892.7985169121537,False,-1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
beta,0.1098612288668109,0.001,0.0001098612288668109,573.3566604669072,False,1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
h_D,0.1373265360835137,0.001,0.0001373265360835137,852.3116522743246,False,1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
h_A,0.2239699336535069,0.001,0.0002239699336535069,884.2856276519645,False,1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
p_D,0.0665685886740751,0.0020371293163656667,0.00013560882353704586,112.34408602150538,True,1,crossing_found,Sinic,domestic_PIs,940.824291928775,112.34408602150538
p_A,0.0462098120373296,0.001,4.62098120373296e-05,892.5353545231368,False,1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
d,0.0026460027216252,5.95739454608032,0.01576328218272365,112.34408602150538,True,-1,crossing_found,Sinic,domestic_PIs,940.824291928775,112.34408602150538
epsilon,0.01,20.0,0.2,852.9888477093343,False,-1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
r,0.0014040879746062274,0.001,1.4040879746062274e-06,850.5481565407496,False,1,no_crossing_in_scanned_range,Sinic,domestic_PIs,940.824291928775,112.34408602150538
I0,2.388363239638916,0.10098849371560109,0.24119720601684733,112.34408602150538,True,1,crossing_found,Sinic,domestic_PIs,940.824291928775,112.34408602150538
alpha,0.0757893595191578,20.0,1.515787190383156,407.8305964805247,False,-1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
beta,0.0356674943938732,0.001,3.56674943938732e-05,372.9211440824798,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
h_D,0.2675082704370338,0.001,0.0002675082704370338,400.14009020478227,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
h_A,0.3744665341942487,0.001,0.0003744665341942487,458.37021130964985,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
p_D,0.0632720369798097,0.001,6.327203697980969e-05,420.4055461800407,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
p_A,0.0398558000503746,0.001,3.98558000503746e-05,461.88562725726905,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
d,0.0068112401162406,3.1344285014933493,0.02134934515085941,132.49329758713137,True,-1,crossing_found,United States,domestic_active,462.02573850130506,132.49329758713137
epsilon,0.007142857142857143,20.0,0.14285714285714285,407.3152717882623,False,-1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
r,0.0039562805261539324,0.001,3.956280526153933e-06,403.5237330757415,False,1,no_crossing_in_scanned_range,United States,domestic_active,462.02573850130506,132.49329758713137
