rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
p_D,0.034055041584399384,184.8724438530257,0.32174927333956393,Japanese,domestic_active,50.47533632286996,early
h_D,0.08664339756999316,184.56191873925596,0.15324161499190778,Japanese,domestic_active,50.47533632286996,early
beta,0.10986122886681096,184.37536759563827,0.05200891277508942,Japanese,domestic_active,50.47533632286996,early
h_A,0.2239699336535069,184.3200318775445,0.021980770555706013,Japanese,domestic_active,50.47533632286996,early
p_A,0.027031007207210953,184.30846816120084,0.015705674995121346,Japanese,domestic_active,50.47533632286996,early
alpha,0.042971518217016634,184.2279435934821,-0.027991294248409612,Japanese,domestic_active,50.47533632286996,early
d,0.0176918739510297,179.71825590115455,-2.475190825674663,Japanese,domestic_active,50.47533632286996,early
r,0.016014514558037263,107.60946537043218,1.0101010100916814,Japanese,domestic_PIs,50.47533632286996,early
I0,1.7060802162755573,107.59870442390505,0.9999999999999792,Japanese,domestic_PIs,50.47533632286996,early
p_D,0.034055041584399384,107.21891140903135,0.6434985466820959,Japanese,domestic_PIs,50.47533632286996,early
h_D,0.08664339756999316,106.79596084767687,0.24648626920608407,Japanese,domestic_PIs,50.47533632286996,early
h_A,0.2239699336535069,106.57390208511745,0.03804570164923182,Japanese,domestic_PIs,50.47533632286996,early
p_A,0.027031007207210953,106.5668342866701,0.03141134999040319,Japanese,domestic_PIs,50.47533632286996,early
beta,0.10986122886681096,106.56616645716053,0.030784476452962523,Japanese,domestic_PIs,50.47533632286996,early
alpha,0.042971518217016634,106.55093743328167,0.016489402734369645,Japanese,domestic_PIs,50.47533632286996,early
d,0.0176918739510297,103.40811074930123,-2.9335971878203666,Japanese,domestic_PIs,50.47533632286996,early
r,0.0061403923248235515,166.08382754774271,1.010101010076149,Other Civilizations,domestic_active,104.59615384615385,early
I0,0.8722485551419678,166.0672191650288,0.9999999999999934,Other Civilizations,domestic_active,104.59615384615385,early
p_D,0.08351753123302454,164.58141952256082,0.09635529128635693,Other Civilizations,domestic_active,104.59615384615385,early
h_D,0.17328679513998632,164.56725860026344,0.08774279594124063,Other Civilizations,domestic_active,104.59615384615385,early
beta,0.06931471805599453,164.53526727578642,0.06828607360660569,Other Civilizations,domestic_active,104.59615384615385,early
h_A,0.2239699336535069,164.4402972500822,0.010526495019373451,Other Civilizations,domestic_active,104.59615384615385,early
p_A,0.046209812037329684,164.43442549135318,0.006955364999772295,Other Civilizations,domestic_active,104.59615384615385,early
alpha,0.08983275012211452,164.3408198929211,-0.049974386032216545,Other Civilizations,domestic_active,104.59615384615385,early
d,0.010128975377441922,160.8484018547174,-2.174019237460999,Other Civilizations,domestic_active,104.59615384615385,early
r,0.0061403923248235515,143.4858067658911,1.0101010100761594,Other Civilizations,domestic_PIs,104.59615384615385,early
I0,0.8722485551419678,143.47145818524982,0.9999999999999966,Other Civilizations,domestic_PIs,104.59615384615385,early
p_D,0.08351753123302454,142.32469590905697,0.19271058257505372,Other Civilizations,domestic_PIs,104.59615384615385,early
h_D,0.17328679513998632,142.2083320542012,0.11079359721022292,Other Civilizations,domestic_PIs,104.59615384615385,early
beta,0.06931471805599453,142.13662681243855,0.06031505946038506,Other Civilizations,domestic_PIs,104.59615384615385,early
h_A,0.2239699336535069,142.07283388046136,0.015406572356442105,Other Civilizations,domestic_PIs,104.59615384615385,early
p_A,0.046209812037329684,142.07070902220266,0.013910729999760773,Other Civilizations,domestic_PIs,104.59615384615385,early
alpha,0.08983275012211452,142.00656735880844,-0.031243254526219854,Other Civilizations,domestic_PIs,104.59615384615385,early
d,0.010128975377441922,138.7641846338368,-2.313792406562391,Other Civilizations,domestic_PIs,104.59615384615385,early
r,0.0020239041523382184,1406.663778565611,1.0101010099218624,Sinic,domestic_active,112.34408602150538,early
I0,2.6100528823832394,1406.523112190249,1.0000000000000082,Sinic,domestic_active,112.34408602150538,early
p_D,0.05915354633339352,1393.3604782206894,0.054813945534585316,Sinic,domestic_active,112.34408602150538,early
h_D,0.14869800835922953,1393.0236182740346,0.03062461347365799,Sinic,domestic_active,112.34408602150538,early
beta,0.0916290731874155,1392.8272620706398,0.01652461300371238,Sinic,domestic_active,112.34408602150538,early
h_A,0.20117973905426256,1392.6477110742514,0.00363136547862675,Sinic,domestic_active,112.34408602150538,early
p_A,0.039185777660141266,1392.6329965810298,0.0025747430865004375,Sinic,domestic_active,112.34408602150538,early
alpha,0.057157458521138384,1392.4335199192126,-0.011749332123446378,Sinic,domestic_active,112.34408602150538,early
d,0.0037050763610373422,1363.987721255073,-2.054393096863438,Sinic,domestic_active,112.34408602150538,early
r,0.0020239041523382184,1302.6392822994746,1.0101010099218626,Sinic,domestic_PIs,112.34408602150538,early
I0,2.6100528823832394,1302.509018373555,1.0000000000000107,Sinic,domestic_PIs,112.34408602150538,early
p_D,0.05915354633339352,1291.0266648925833,0.10962789107882036,Sinic,domestic_PIs,112.34408602150538,early
h_D,0.14869800835922953,1290.1704536799932,0.04323500530856738,Sinic,domestic_PIs,112.34408602150538,early
beta,0.0916290731874155,1289.7705018833246,0.012221683409293716,Sinic,domestic_PIs,112.34408602150538,early
h_A,0.20117973905426256,1289.6878250188151,0.005810700300795896,Sinic,domestic_PIs,112.34408602150538,early
p_A,0.039185777660141266,1289.6792979162021,0.0051494861734725965,Sinic,domestic_PIs,112.34408602150538,early
alpha,0.057157458521138384,1289.5492444388187,-0.004935205011334304,Sinic,domestic_PIs,112.34408602150538,early
d,0.0037050763610373422,1262.1687884020537,-2.1280883046854253,Sinic,domestic_PIs,112.34408602150538,early
r,0.005154066901468468,814.816617663187,1.010101010041621,United States,domestic_active,132.49329758713137,early
I0,3.603575121637484,814.7351360018998,1.0000000000000153,United States,domestic_active,132.49329758713137,early
h_D,0.25596160542065693,807.6806259693849,0.1254758978722439,United States,domestic_active,132.49329758713137,early
p_D,0.06228728249178888,807.5275233605976,0.10649627761994705,United States,domestic_active,132.49329758713137,early
beta,0.015415067982725822,807.4017882424434,0.0909093139891837,United States,domestic_active,132.49329758713137,early
p_A,0.046209812037329684,806.6980528160574,0.0036695781238749513,United States,domestic_active,132.49329758713137,early
h_A,0.32988216620190736,806.6839189025959,0.0019174439682099525,United States,domestic_active,132.49329758713137,early
alpha,0.060000455671901175,805.8454486878856,-0.10202491465071234,United States,domestic_active,132.49329758713137,early
d,0.008349011280518778,789.0798881370412,-2.180395590972366,United States,domestic_active,132.49329758713137,early
r,0.005154066901468468,706.2335316388032,1.0101010100416208,United States,domestic_PIs,132.49329758713137,early
I0,3.603575121637484,706.1629082860546,1.000000000000011,United States,domestic_PIs,132.49329758713137,early
p_D,0.06228728249178888,700.6603789194191,0.21299255524612012,United States,domestic_PIs,132.49329758713137,early
h_D,0.25596160542065693,700.1512061465213,0.14016736227825327,United States,domestic_PIs,132.49329758713137,early
beta,0.015415067982725822,699.8177477481804,0.09247397901322989,United States,domestic_PIs,132.49329758713137,early
p_A,0.046209812037329684,699.2225095893652,0.007339156247973082,United States,domestic_PIs,132.49329758713137,early
h_A,0.32988216620190736,699.1906418197519,0.0027812211126418775,United States,domestic_PIs,132.49329758713137,early
alpha,0.060000455671901175,698.5483833757046,-0.08907874786565607,United States,domestic_PIs,132.49329758713137,early
d,0.008349011280518778,682.9613147718746,-2.3184424124169882,United States,domestic_PIs,132.49329758713137,early
r,0.0024677160504325,799.2829563757091,1.0101010100616443,Continental Europe,domestic_active,129.0692124105012,late
I0,1.8160593209803058,799.2030280803831,1.0000000000000133,Continental Europe,domestic_active,129.0692124105012,late
p_D,0.06108604879161033,791.7040885332544,0.05231478404282782,Continental Europe,domestic_active,129.0692124105012,late
beta,0.08109302162163287,791.6335836450894,0.043404665519162666,Continental Europe,domestic_active,129.0692124105012,late
h_D,0.1373265360835137,791.5624810255277,0.03441900815375407,Continental Europe,domestic_active,129.0692124105012,late
h_A,0.2746530721670274,791.3722539899433,0.010378895793093009,Continental Europe,domestic_active,129.0692124105012,late
p_A,0.07324081924454064,791.3541277842919,0.008088180284689274,Continental Europe,domestic_active,129.0692124105012,late
alpha,0.15925190750457274,791.1455052293031,-0.01827668235162615,Continental Europe,domestic_active,129.0692124105012,late
d,0.0044468170929742425,774.7720207574324,-2.087490478539361,Continental Europe,domestic_active,129.0692124105012,late
r,0.0024677160504325,743.3607906925058,1.0101010100616452,Continental Europe,domestic_PIs,129.0692124105012,late
I0,1.8160593209803058,743.2864546137263,1.000000000000006,Continental Europe,domestic_PIs,129.0692124105012,late
p_D,0.06108604879161033,736.6971802186563,0.10462956808768584,Continental Europe,domestic_PIs,129.0692124105012,late
h_D,0.1373265360835137,736.1893588062406,0.03562526653528646,Continental Europe,domestic_PIs,129.0692124105012,late
beta,0.08109302162163287,736.1696931462958,0.0329530374880587,Continental Europe,domestic_PIs,129.0692124105012,late
p_A,0.07324081924454064,736.0462290204853,0.01617636056967767,Continental Europe,domestic_PIs,129.0692124105012,late
h_A,0.2746530721670274,736.0314584916825,0.014169296671478655,Continental Europe,domestic_PIs,129.0692124105012,late
alpha,0.15925190750457274,735.910597111955,-0.002253711277491819,Continental Europe,domestic_PIs,129.0692124105012,late
d,0.0044468170929742425,720.0495139761365,-2.1575054137320784,Continental Europe,domestic_PIs,129.0692124105012,late
r,0.003141552654597035,614.592546922107,1.0101010100957843,Hindu,domestic_active,66.04072398190046,late
I0,1.6572420087028756,614.5310876674465,0.9999999999999927,Hindu,domestic_active,66.04072398190046,late
h_D,0.10943359216923751,610.0055886817674,0.25622087030862095,Hindu,domestic_active,66.04072398190046,late
p_D,0.046209812037329684,609.0182014669483,0.09394086414122002,Hindu,domestic_active,66.04072398190046,late
h_A,0.0,608.4466214529174,0.0,Hindu,domestic_active,66.04072398190046,late
p_A,0.0,608.4466214529174,0.0,Hindu,domestic_active,66.04072398190046,late
beta,0.0,608.4466214529174,0.0,Hindu,domestic_active,66.04072398190046,late
alpha,0.014501896164938301,607.0792474436639,-0.22473195857153375,Hindu,domestic_active,66.04072398190046,late
d,0.004833965388312767,595.7731030900729,-2.082930189107007,Hindu,domestic_active,66.04072398190046,late
r,0.003141552654597035,532.8517491229719,1.0101010100957855,Hindu,domestic_PIs,66.04072398190046,late
I0,1.6572420087028756,532.7984639480871,0.9999999999999953,Hindu,domestic_PIs,66.04072398190046,late
h_D,0.10943359216923751,529.0964686592109,0.2982308518574643,Hindu,domestic_PIs,66.04072398190046,late
p_D,0.046209812037329684,528.5143513964535,0.18788172828299432,Hindu,domestic_PIs,66.04072398190046,late
h_A,0.0,527.5232316317695,0.0,Hindu,domestic_PIs,66.04072398190046,late
p_A,0.0,527.5232316317695,0.0,Hindu,domestic_PIs,66.04072398190046,late
beta,0.0,527.5232316317695,0.0,Hindu,domestic_PIs,66.04072398190046,late
alpha,0.014501896164938301,526.3377183414036,-0.22473195857152184,Hindu,domestic_PIs,66.04072398190046,late
d,0.004833965388312767,515.8283671639531,-2.2169382818726415,Hindu,domestic_PIs,66.04072398190046,late
r,0.0022445631668688293,1117.638794924318,1.0101010100282404,Islamic,domestic_active,126.52032520325203,late
I0,2.1554438508323224,1117.5270310456303,0.9999999999999655,Islamic,domestic_active,126.52032520325203,late
p_D,0.027031007207210953,1107.6779122746889,0.10985509233332542,Islamic,domestic_active,126.52032520325203,late
h_D,0.1013662770270411,1106.7332585388606,0.024479056973011885,Islamic,domestic_active,126.52032520325203,late
beta,0.13862943611198905,1106.5964240607586,0.012112213125516417,Islamic,domestic_active,126.52032520325203,late
h_A,0.25993019270997947,1106.5770293437731,0.010359354929590439,Islamic,domestic_active,126.52032520325203,late
